IS	IS_fam
ISOSDB17888	IS3
ISOSDB13287	IS1182
ISOSDB11894	IS4
ISOSDB19160	IS3
ISOSDB21541	IS4
ISOSDB20324	IS3
ISOSDB867	IS1182
ISOSDB1371	IS1182
ISOSDB16619	IS1595
ISOSDB15154	IS256
ISOSDB6768	IS3
ISOSDB10046	IS256
ISOSDB10849	IS3
ISOSDB22418	IS110
ISOSDB1167	IS3
ISOSDB5620	IS3
ISOSDB12686	IS200/IS605
ISOSDB18833	IS1182
ISOSDB15494	IS4
ISOSDB13524	IS3
ISOSDB3443	IS3
ISOSDB11169	IS4
ISOSDB10666	IS30
ISOSDB9590	IS3
ISOSDB14240	IS4
ISOSDB21240	IS110
ISOSDB9401	IS630
ISOSDB2968	IS3
ISOSDB12115	IS3
ISOSDB8500	IS1182
ISOSDB14286	IS1182
ISOSDB7404	IS3
ISOSDB9324	IS1182
ISOSDB15066	IS1182
ISOSDB1637	IS1182
ISOSDB7689	IS4
ISOSDB5028	IS4
ISOSDB19303	ISAs1
ISOSDB2647	IS4
ISOSDB13348	IS3
ISOSDB13685	IS4
ISOSDB22464	IS3
ISOSDB21487	IS4
ISOSDB7370	IS1182
ISOSDB8059	IS3
ISOSDB13044	IS4
ISOSDB208	IS1182
ISOSDB2984	IS4
ISOSDB2583	IS3
ISOSDB21075	IS3
ISOSDB2243	IS3
ISOSDB16636	IS21
ISOSDB5973	IS1182
ISOSDB12032	IS1182
ISOSDB14483	IS1182
ISOSDB309	IS1182
ISOSDB2877	IS21
ISOSDB11320	IS110
ISOSDB3088	IS4
ISOSDB4773	ISAzo13
ISOSDB823	IS3
ISOSDB486	IS4
ISOSDB3521	IS3
ISOSDB16656	IS3
ISOSDB7962	IS3
ISOSDB14299	IS3
ISOSDB2158	IS3
ISOSDB7292	IS3
ISOSDB700	IS30
ISOSDB11225	IS110
ISOSDB411	IS3
ISOSDB718	IS200/IS605
ISOSDB2452	IS200/IS605
ISOSDB17219	IS200/IS605
ISOSDB7508	IS4
ISOSDB2799	IS4
ISOSDB7441	IS3
ISOSDB18029	IS21
ISOSDB4769	IS3
ISOSDB20762	IS21
ISOSDB5346	IS1182
ISOSDB22467	IS4
ISOSDB11990	IS4
ISOSDB6518	IS1182
ISOSDB1663	IS4
ISOSDB19103	IS1182
ISOSDB12144	IS3
ISOSDB11748	IS3
ISOSDB10172	IS21
ISOSDB863	IS30
ISOSDB12558	IS21
ISOSDB14499	IS21
ISOSDB16281	IS21
ISOSDB699	IS30
ISOSDB13587	IS21
ISOSDB11001	IS110
ISOSDB16951	IS3
ISOSDB10633	IS3
ISOSDB7305	IS4
ISOSDB11823	IS4
ISOSDB1568	IS4
ISOSDB8719	IS1182
ISOSDB14950	IS1182
ISOSDB11491	IS1182
ISOSDB3900	IS1182
ISOSDB20293	IS1182
ISOSDB14285	IS1182
ISOSDB751	IS1182
ISOSDB5749	IS3
ISOSDB4290	IS4
ISOSDB22753	IS3
ISOSDB3964	IS1182
ISOSDB11535	IS1182
ISOSDB3678	IS3
ISOSDB21759	IS1182
ISOSDB10083	IS4
ISOSDB7133	IS3
ISOSDB14874	ISAs1
ISOSDB7005	IS3
ISOSDB18525	IS5
ISOSDB17780	IS5
ISOSDB17779	IS3
ISOSDB14394	IS1182
ISOSDB21207	IS1182
ISOSDB2994	IS4
ISOSDB808	IS1182
ISOSDB8299	IS1182
ISOSDB253	IS1182
ISOSDB527	IS1182
ISOSDB72	IS1182
ISOSDB662	IS1182
ISOSDB10952	IS1595
ISOSDB19693	IS4
ISOSDB13768	IS5
ISOSDB11439	IS256
ISOSDB21542	IS3
ISOSDB825	IS3
ISOSDB187	IS3
ISOSDB587	IS3
ISOSDB3143	IS3
ISOSDB17357	IS3
ISOSDB2867	IS3
ISOSDB5768	IS21
ISOSDB7225	IS21
ISOSDB19438	IS21
ISOSDB15040	IS21
ISOSDB9199	IS3
ISOSDB15068	ISL3
ISOSDB530	IS1182
ISOSDB9341	IS256
ISOSDB6708	IS3
ISOSDB870	IS3
ISOSDB13117	IS3
ISOSDB13116	IS3
ISOSDB14459	IS21
ISOSDB11478	IS21
ISOSDB1722	IS1595
ISOSDB19492	IS66
ISOSDB11249	IS256
ISOSDB10261	IS256
ISOSDB9891	IS30
ISOSDB491	IS1182
ISOSDB3543	IS256
ISOSDB694	IS5
ISOSDB3367	IS630
ISOSDB7944	IS3
ISOSDB15335	IS3
ISOSDB18107	IS21
ISOSDB6127	IS21
ISOSDB4644	ISL3
ISOSDB9996	ISNCY
ISOSDB7193	ISNCY
ISOSDB94	IS30
ISOSDB8356	IS21
ISOSDB12876	IS21
ISOSDB3771	IS110
ISOSDB113	IS3
ISOSDB11458	IS3
ISOSDB11259	IS21
ISOSDB17980	IS1182
ISOSDB14803	IS21
ISOSDB14357	IS21
ISOSDB20903	IS1182
ISOSDB9236	IS21
ISOSDB2120	IS3
ISOSDB19969	ISNCY
ISOSDB1318	IS3
ISOSDB1461	IS630
ISOSDB12675	IS21
ISOSDB8451	IS21
ISOSDB5782	IS21
ISOSDB17586	IS3
ISOSDB14648	IS21
ISOSDB6466	IS21
ISOSDB21659	IS30
ISOSDB812	IS3
ISOSDB19222	IS256
